Sorts,Sequence,Time,
Cape - Tim,DCDA,0.002055,[-39202 -39204 -39206 -39207 -39208],[-49079 -49079 -49079 -49079 -49079],[-68606 -68607 -68608 -68610 -68612],[-88193 -88191 -88190 -88189 -88187],
Quad,DCDA,0.002626,
Quick,DCDA,0.006195,
Tim,DCDA,0.002041,
Cape - Tim,DCDD,0.002333,[-39370 -39371 -39372 -39373 -39375],[-49204 -49204 -49204 -49204 -49204],[-68939 -68941 -68943 -68944 -68946],[-108178 -108180 -108182 -108183 -108185],
Quad,DCDD,0.002564,
Quick,DCDD,0.006124,
Tim,DCDD,0.002325,
Cape - Tim,DCDC,0.001914,[-39119 -39120 -39122 -39124 -39125],[-48941 -48941 -48941 -48941 -48941],[-68611 -68613 -68615 -68616 -68617],[-97990 -97990 -97990 -97990 -97990],
Quad,DCDC,0.002183,
Quick,DCDC,0.005854,
Tim,DCDC,0.001904,
Cape - Quad,DCDR,0.004020,[-39340 -39341 -39342 -39343 -39344],[-49086 -49086 -49086 -49086 -49086],[-68798 -68799 -68800 -68802 -68803],[-98360 -98359 -98360 -98358 -98359],
Quad,DCDR,0.003966,
Quick,DCDR,0.006991,
Tim,DCDR,0.005696,
